 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number
,,,,,,,,,,,,,,,
   ger, f,32, , mr, angelica, schacht, nsw, north epping,3810,54, gaunson crescent, , ,1517455,7
,,,,,,,,,,,,,,,
 usa, m,30,19860321, , william, austin, qld, dianlla,7310,1597, minnett close, brentwood village, 613 45321329,3094923,0
,,,,,,,,,,,,,,,
 swe, , ,19270816, , samu l, sÆther, nsw, torrington,2716,36, paul coe crescent, lazy acres, 2 76907058,4728759,7
,,,,,,,,,,,,,,,
   eng, m, ,19321017, dr, casey, acker, wa, benjinup,4217, , sage close, , 08 69385275,5851589,1
,,,,,,,,,,,,,,,
   iri, m,34,19820207, , olivia, odoyle, nsw, ruthven,6333,16, percy crescent, , 612 34514129,7941767,7
,,,,,,,,,,,,,,,
 dan, , ,19560830, pfc, alexa nder, obel, nsw, yattalunga,4870,4, axon street, , 2 82022175,9604411,2
,,,,,,,,,,,,,,,
 chi, f, ,19540204, , henry, chang, nsw, burragate,4211,29, cygnet crescent, ,290447613,2282077,5
,,,,,,,,,,,,,,,
 chi, f,33,19831008, , jacob, zhang, nsw, toogong,3280,88, powell street, , 612 99956900,4603009,1
,,,,,,,,,,,,,,,
   spa, ,12,20041116, , isabella, jquez, nt, fannie bay,2539,306, beazley crescent, , 03 09473487,2409028,8
,,,,,,,,,,,,,,,
   fre, ,24,19920415, , lucas, labb, qld, james cook university,2137,104, federal highway, forestvale, 03 43753924,7201686,1
,,,,,,,,,,,,,,,
 wel, f,32,19840308, ms, pino, beafan, nsw, wyrallah,3088,5, irvine street, , 612 38559133,7046262,5
,,,,,,,,,,,,,,,
 usa, f, ,19610502, , jessica, boyer, nsw, wollomombi,2213,2, lambriggstreet, , 612 89839840,8701341,6
,,,,,,,,,,,,,,,
   eng, m,9,20070411, ms, jayden, ryely, , ernest,5000,60, ingamells street, , 04 75210421,8286583,8
,,,,,,,,,,,,,,,
 usa, ,3,19850312, mr, ainsley, carver, nsw, ghinni ghinni,2906,4, beasley street, , 02 23124813,7893351,3
,,,,,,,,,,,,,,,
