 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number
,,,,,,,,,,,,,,,
   chi, f,28, , , mitchell, ngau, vic, gisborne,2233,4, canberra avenue, , 8 94917004,5340341,0
,,,,,,,,,,,,,,,
   unk, f,38,19780512, ms, jake, abadi, qld, cungulla,4066,15, max henry crescent, , 3 36217386,7374969,1
,,,,,,,,,,,,,,,
   usa, f,30,19860117, mr, ruby, robbins, nsw, middle dural,3616,96, walker crescent, apt 16 the village, 612 76489084,1954499,2
,,,,,,,,,,,,,,,
   eng, f, ,19441113, , william, kitchens, , murarrie,2292,9, weston street, , 03 33746627,9647469,3
,,,,,,,,,,,,,,,
   usa, ,28,19880520, , mitchell, cardenas, vic, mordialloc,4127,6, derrington crescent, , 8 99025933,5578906,9
,,,,,,,,,,,,,,,
   ser, ,28,19880928, mr, alysha, selimovic, nsw, turondale,3940,108, peat place, , 2 54393498,2945447,4
,,,,,,,,,,,,,,,
   eng, m,28,19880204, hon, harry, addison, nsw, boronia heights,2450,34, mauldon street, , 612 14561891,3901574,5
,,,,,,,,,,,,,,,
   unk, ,40, , , stelio, aakre, vic, coronet bay,4455,2, hopetoun circuit, , 8 56877757,7539207,6
,,,,,,,,,,,,,,,
   ind, f,41,19750219, ms, shandril, srikaran, vic, walhalla,3940,4176, copland drive, don ray, 08 05169805,6453984,7
,,,,,,,,,,,,,,,
   tur, ,30,19860209, , meg, ece, nsw, pitt town,2325,17, cowdery place, , 612 75897004,5161318,8
